,id,name,event_id,start_date,end_date,title,photo_url
72,18595782,The Pallet,264218.0,2019-04-15,2019-04-15,Monday Madness | Ft. DJ Sam | Full Day Happy Hours,['https://b.zmtcdn.com/data/zomato_events/photos/66f/57ce93ad5437845e88ec3ef7c424c66f_1539599793.jpg']
73,18537585,The Reservoire,337463.0,2019-04-09,2019-06-09,SUNDAY TIKI BRUNCH,['https://b.zmtcdn.com/data/zomato_events/photos/587/e83c2132c75013e76d5fd7121314d587_1554827399.jpg']
74,56618,AB's - Absolute Barbecues,NA,NA,NA,NA,NA
75,51040,Truffles,NA,NA,NA,NA,NA
76,18874059,The Pump House,NA,NA,NA,NA,NA
77,18709627,Simon Says Brew Works,315874.0,2019-03-28,2019-04-26,Bollywood Night with DJ Oppozit,['https://b.zmtcdn.com/data/zomato_events/photos/278/bb1e372263762c810a7c220d732bd278_1550569902.jpg']
78,18727906,XOOX Brewmill,314958.0,2019-04-13,2019-04-30,Unlimited Sparkling Wine Brunch !,['https://b.zmtcdn.com/data/zomato_events/photos/2e1/cb5585c6669f8456c20af9f12eabb2e1_1552052914.jpg']
79,18642512,Stories,NA,NA,NA,NA,NA
80,18893197,FC Road Social,332812.0,2019-03-29,2019-05-23,Live 20/20 Match Screenings,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg']
81,18880433,BeHive,337514.0,2019-04-10,2019-04-10,"queen bees , ladies night",['https://b.zmtcdn.com/data/zomato_events/photos/7cd/349ff41efcc982b82ad889684803a7cd_1554865907.jpg']
82,18715982,Flechazo,NA,NA,NA,NA,NA
83,18562250,Cafe Co2 Resto Lounge,332116.0,2019-03-28,2019-05-19,Live Cricket Screening @ Cafe CO2,[]
84,6508166,Flying Duck Co.,337015.0,2019-04-10,2019-04-10,Girls Night Out,['https://b.zmtcdn.com/data/zomato_events/photos/0f1/62519986315c982e1bd127af1e5af0f1_1553061040.jpg']
85,18586395,Onesta,NA,NA,NA,NA,NA
86,18732937,Darshan,NA,NA,NA,NA,NA
87,18784250,Universal Barbeque,332959.0,2019-03-29,2019-04-30,FAMILY OFFER,['https://b.zmtcdn.com/data/zomato_events/photos/335/a6598b1e960e98d9447d4e03c06cc335_1553873543.jpeg']
88,18740139,Grandmama's Cafe,329559.0,2019-04-11,2019-04-11,Grandma's Quiz Night! ,['https://b.zmtcdn.com/data/zomato_events/photos/ce7/f68ca85fd4194e229684269af3748ce7_1553259518.jpg']
89,18545152,AB's - Absolute Barbecues,NA,NA,NA,NA,NA
90,18417624,The Sassy Spoon,336867.0,2019-04-08,2019-12-31,A Night to Remember ,[]
91,18383095,Teddy Boy,NA,NA,NA,NA,NA
92,18621437,The FML Lounge,336718.0,2019-04-08,2019-05-31,HAPPY DAYS 1+1,['https://b.zmtcdn.com/data/zomato_events/photos/308/c3b32cf4f0840253801ff0c01e6fa308_1554714758.jpg']
93,18890430,The Barkhana,NA,NA,NA,NA,NA
94,18617201,Onesta,NA,NA,NA,NA,NA
95,18650304,Tatva,NA,NA,NA,NA,NA
96,18657534,Viman Nagar Social,332812.0,2019-03-29,2019-05-23,Live 20/20 Match Screenings,['https://b.zmtcdn.com/data/zomato_events/photos/e11/de21c69b73b6220731a4191883338e11_1553860194.jpg']
97,18536004,Culture - पुणे,337114.0,2019-04-10,2019-04-10,IPL Quiz Night,['https://b.zmtcdn.com/data/zomato_events/photos/b58/f2a16cc683eeaabb01052f2c7959fb58_1554792467.jpg']
98,6508323,The Urban Foundry,337273.0,2019-04-09,2019-04-30,LIVE SCREENING,['https://b.zmtcdn.com/data/zomato_events/photos/a64/c393a5e9f6a20df4f15f19926c5afa64_1554807097.jpg']
99,18678581,Hippie@Heart,NA,NA,NA,NA,NA
100,90896,Bawarchi,NA,NA,NA,NA,NA
101,18550292,Flechazo,NA,NA,NA,NA,NA
102,18312984,Sahib’s Barbeque by Ohri’s,NA,NA,NA,NA,NA
103,18538735,Over The Moon Brew Company,NA,NA,NA,NA,NA
104,18470497,84 Anjuna Shack,329193.0,2019-03-23,2019-05-10,IPL T20 Match Screening,['https://b.zmtcdn.com/data/zomato_events/photos/c00/3e732fea47fcc93cbd6a8dd939dbec00_1553174044.jpg']
105,18207447,Shah Ghouse Hotel & Restaurant,NA,NA,NA,NA,NA
106,18544039,The Roastery Coffee House,NA,NA,NA,NA,NA
107,90499,Coffee Cup,NA,NA,NA,NA,NA
108,18582430,Lucky Restaurant,NA,NA,NA,NA,NA
109,18514668,Captain Cook,NA,NA,NA,NA,NA
110,18715296,Bakasura Restaurant,NA,NA,NA,NA,NA
111,18673497,Onesta,NA,NA,NA,NA,NA
112,95831,Green Bawarchi,NA,NA,NA,NA,NA
113,18138652,Paradise,NA,NA,NA,NA,NA
114,90903,Shah Ghouse Cafe & Restaurant,NA,NA,NA,NA,NA
115,18807262,Broadway,337301.0,2019-04-10,2019-04-10,Meghna Dundi Trio LIVE,['https://b.zmtcdn.com/data/zomato_events/photos/f0d/f84051fb085a223c2970971957175f0d_1554810437.jpg']
116,18774025,eat.fit,NA,NA,NA,NA,NA
117,18965675,Chubby Cho,NA,NA,NA,NA,NA
